id,module,lessonId,questionNumber,type,questionText,optionA,optionB,optionC,optionD,correctAnswers,tags
FARES-019,fares,standard-premium-special-rates,19,single,What is the tariff on Christmas Eve after 8pm?,€4.20 + €1.65 per km thereafter,€4.20 + €1.30 per km thereafter,€4.80 + €1.71 per km thereafter,€5.40 + €2.20 per km thereafter,3,"special-rate,christmas-eve"
FARES-020,fares,extra-charges,20,single,Can you apply toll charges to a fare?,NO,YES,,,1,"tolls,extra-charges"
FARES-021,fares,fare-basics,21,single,"If a fare comes to €19.80 at the end of the journey and the customer gives you €20, what should you do?",Ask if the customer wants the change,Give back 20c and say thank you,Keep the change,Say thank you and drive off,1,"change,customer-service"
FARES-022,fares,time-vs-distance-charging,22,single,Below what speed is a fare calculated by journey time?,14.5 km/h,15 km/h,21.2 km/h,24.5 km/h,2,"speed,time"
FARES-023,fares,tariff-a-tariff-b,23,single,Tariff A runs for how many kilometres/minutes?,14 km or 52 minutes,14.5 km or 44 minutes,14.5 km or 42 minutes,15 km or up to 52 minutes,2,"tariff-a,threshold"
FARES-024,fares,extra-charges,24,single,Where are details regarding extra charges displayed in a SPSV vehicle?,Dashboard ID,In-vehicle Information Card,On the back of the driver's headrest,They are not displayed,1,"extra-charges,ivIC"
FARES-025,fares,taximeter-rules,25,single,"If the fare is travelling over 30 km, with permission from the passenger the driver can do what with his roof sign for more efficient fuel consumption?",Position the roof sign lengthways,Put it in the boot,Put it in the passenger seat,You must never alter the roof sign,0,"roof-sign,driver-rights"
FARES-026,fares,extra-charges,26,single,Do toll charges need to be included on a receipt?,No,Yes,,,1,"tolls,receipt"
FARES-027,fares,time-vs-distance-charging,27,single,What is the charge per minute of the Special Premium Rate after the initial charge?,€1.50,€0.50,€0.95,€0.78,3,"special-rate,time"
FARES-028,fares,extra-charges,28,single,"What is the additional charge for 2 children, 9 and 10 years old?",No additional charge,€1,€2,€3,1,"children,extra-charges"
FARES-029,fares,standard-premium-special-rates,29,single,What is the starting tariff on Christmas Eve before 18:00 if Christmas Day is a Monday?,€4.20 + €1.45 per km thereafter,€4.20 + €1.75 per km thereafter,€5.40 + €1.81 per km thereafter,€5.40 + €2.20 per km thereafter,2,"premium-rate,christmas-eve"
FARES-030,fares,fixed-payment-offences,30,single,"Fixed Payment Offence ""Standing at appointed stand while the vehicle is not available for hire"" carries a penalty of:",€250,€40,€60,€80,3,"offences,rank"
FARES-031,fares,fare-basics,31,single,What needs to be included on a taxi receipt?,All are correct,Date,Taxi licence number,Vehicle Registration,0,"receipt,fare-basics"
FARES-032,fares,taximeter-rules,32,single,Where is the meter most visible?,Centre column above the dashboard,In the glovebox,Passenger footwell,Underneath the passenger seat,0,"taximeter,visibility"
FARES-033,fares,customer-service-driver-rights,33,single,What should you do if there is a toll charge on the route the passenger has chosen?,Charge the passenger more than the toll value,Continue on the selected route but don't charge for the tolls,Don't tell the passenger there is a toll charge,"You should advise passengers of the alternative routes available, and the likely costs and journey times associated with each",3,"tolls,route,customer-service"
FARES-034,fares,standard-premium-special-rates,34,single,What is the national maximum fare?,Special Premium Rate of €4.20 + €1.45 per km thereafter,Special Premium Rate of €4.80 + €1.75 per km thereafter,Special Premium Rate of €5.40 + €2.20 per km thereafter,Special Premium Rate of €4.20 + €1.90 per km thereafter,2,"national-maximum-fare,special-rate"
FARES-035,fares,time-vs-distance-charging,35,single,"It is 08:30 am on Monday morning and you are travelling at 15 km/h, how much do you charge after the initial charge?",€0.51 per minute,€0.53 per minute,€0.64 per minute,€0.47 per minute,3,"standard-rate,time"
FARES-036,fares,fixed-payment-offences,36,single,"The Fixed Payment Offence ""Failure to display tamper-proof disc"" carries a penalty of:",€250,€40,€60,€150,3,"offences,tamper-proof-disc"
FARES-037,fares,tariff-a-tariff-b,37,single,Tariff A on the standard rate is up to what amount?,€20.40,€23.60,€25.40,€29.60,1,"tariff-a,standard-rate"
FARES-038,fares,extra-charges,38,single,If a customer has pre-booked a taxi to the airport what are they expected to do?,Pay the fare and booking fee,Pay the fare but not the booking fee,Query the fare and the booking fee,Query the fare but not the booking fee,0,"booking-fee,airport"
FARES-039,fares,tariff-a-tariff-b,39,single,Tariff A on the premium rate is up to what amount?,€31.80,€24.50,€27.40,€29.60,0,"tariff-a,premium-rate"
FARES-040,fares,fixed-payment-offences,40,single,"Fixed Payment Offence ""Refusal to carry assistance dog or guide dog in a small public service vehicle"" carries a penalty of:",€60,€250,€150,€80,1,"offences,assistance-dog"
FARES-041,fares,customer-service-driver-rights,41,single,You have the right to refuse to undertake journeys if:,Less than 10 km,More than 20 km,More than 25 km,More than 30 km,3,"driver-rights,journey-refusal"
FARES-042,fares,extra-charges,42,single,Which of the following booking methods would incur a booking fee?,All answers are correct,Email or Text,Phone or App,Visiting a dispatch operator's office,0,"booking-fee,extra-charges"
FARES-043,fares,customer-service-driver-rights,43,multiple,What SPSV drivers are able to agree the fare in advance of the journey? (select two answers),Limousines,Local area hackney,Taxi,Wheelchair Accessible Vehicles,"0,1","fare-agreement,vehicle-types"
FARES-044,fares,tariff-a-tariff-b,44,single,Tariff B begins after what distance/time?,After 14 km or after 41 minutes,After 14.5 km or after 41 minutes,After 15.5 km or 52 minutes,After 15 km or after 43 minutes (42 min 25 sec),3,"tariff-b,threshold"
